loan_id,current_balance,payment_status,days_past_due,interest_rate,last_payment_date,servicer_name
LN-1148,256201,CURRENT,0,6.78,2024-08-10,Wells Fargo Servicing
LN-1152,355152,CURRENT,0,5.51,2024-08-10,PennyMac Loan Services
LN-1156,472677,CURRENT,0,4.58,2024-08-10,Nationstar Mortgage
LN-1160,278615,CURRENT,0,5.61,2024-08-10,Wells Fargo Servicing
LN-1164,380942,CURRENT,0,4.67,2024-08-10,Chase Home Lending
LN-1168,436240,CURRENT,0,7.32,2024-08-10,Wells Fargo Servicing
LN-1172,338195,CURRENT,0,7.72,2024-08-10,Wells Fargo Servicing
LN-1176,479626,CURRENT,0,6.81,2024-08-10,Rocket Mortgage Servicing
LN-1180,241396,30_DAYS_LATE,35,6.27,2024-08-10,Nationstar Mortgage
LN-1184,263526,CURRENT,0,6.56,2024-08-10,Wells Fargo Servicing
LN-1188,337114,CURRENT,0,7.42,2024-08-10,Wells Fargo Servicing
LN-1192,464920,CURRENT,0,7.35,2024-08-10,Rocket Mortgage Servicing
LN-1196,614425,CURRENT,0,5.71,2024-08-10,Freedom Mortgage
LN-1200,534103,CURRENT,0,8.04,2024-08-10,Nationstar Mortgage
LN-1204,165400,CURRENT,0,5.68,2024-08-10,Nationstar Mortgage
LN-1208,291322,CURRENT,0,6.09,2024-08-10,Wells Fargo Servicing
LN-1212,490835,CURRENT,0,7.49,2024-08-10,Nationstar Mortgage
LN-1216,462630,CURRENT,0,7.74,2024-08-10,PennyMac Loan Services
LN-1220,502263,CURRENT,0,5.24,2024-08-10,Nationstar Mortgage
LN-1224,612791,CURRENT,0,6.05,2024-08-10,Freedom Mortgage
LN-1228,280192,CURRENT,0,6.95,2024-08-10,PennyMac Loan Services
LN-1232,536222,CURRENT,0,6.54,2024-08-10,Nationstar Mortgage
LN-1236,150889,CURRENT,0,6.09,2024-08-10,Chase Home Lending
LN-1240,614982,CURRENT,0,6.45,2024-08-10,Rocket Mortgage Servicing
LN-1244,391871,CURRENT,0,6.34,2024-08-10,Wells Fargo Servicing
LN-1248,242029,CURRENT,0,6.91,2024-08-10,Chase Home Lending
LN-1252,533440,CURRENT,0,5.47,2024-08-10,Freedom Mortgage
LN-1256,223217,CURRENT,0,4.86,2024-08-10,Nationstar Mortgage
LN-1260,372581,CURRENT,0,5.77,2024-08-10,Chase Home Lending
LN-1264,184680,CURRENT,0,5.45,2024-08-10,Rocket Mortgage Servicing
LN-1268,502304,CURRENT,0,4.72,2024-08-10,Freedom Mortgage
LN-1272,484280,CURRENT,0,5.43,2024-08-10,PennyMac Loan Services
LN-1276,454558,CURRENT,0,5.39,2024-08-10,PennyMac Loan Services
LN-1280,498205,CURRENT,0,7.02,2024-08-10,Freedom Mortgage
LN-1284,304377,CURRENT,0,4.72,2024-08-10,PennyMac Loan Services
LN-1288,377025,CURRENT,0,5.13,2024-08-10,PennyMac Loan Services
LN-1292,537886,CURRENT,0,4.51,2024-08-10,Chase Home Lending
LN-1296,444362,CURRENT,0,6.42,2024-08-10,Chase Home Lending
LN-1300,412124,CURRENT,0,6.35,2024-08-10,PennyMac Loan Services
LN-1304,301077,CURRENT,0,7.12,2024-08-10,Wells Fargo Servicing
LN-1308,407797,CURRENT,0,4.65,2024-08-10,Freedom Mortgage
LN-1312,435062,CURRENT,0,7.52,2024-08-10,Wells Fargo Servicing
LN-1316,603086,CURRENT,0,5.24,2024-08-10,Wells Fargo Servicing
LN-1320,556602,CURRENT,0,7.62,2024-08-10,Wells Fargo Servicing
LN-1324,362396,CURRENT,0,6.67,2024-08-10,Rocket Mortgage Servicing
LN-1328,432597,CURRENT,0,5.62,2024-08-10,Wells Fargo Servicing
LN-1332,608869,CURRENT,0,4.82,2024-08-10,Wells Fargo Servicing
LN-1336,339967,CURRENT,0,5.93,2024-08-10,Freedom Mortgage
LN-1340,482802,CURRENT,0,6.63,2024-08-10,Rocket Mortgage Servicing
LN-1344,515019,CURRENT,0,4.95,2024-08-10,PennyMac Loan Services
LN-1348,562078,CURRENT,0,5.66,2024-08-10,Freedom Mortgage
LN-1352,597713,CURRENT,0,4.68,2024-08-10,PennyMac Loan Services
LN-1356,238298,CURRENT,0,5.38,2024-08-10,PennyMac Loan Services
LN-1360,436919,CURRENT,0,5.28,2024-08-10,Nationstar Mortgage
LN-1364,590947,CURRENT,0,4.61,2024-08-10,Rocket Mortgage Servicing
LN-1368,380426,CURRENT,0,7.67,2024-08-10,Rocket Mortgage Servicing
LN-1372,500419,CURRENT,0,5.11,2024-08-10,Freedom Mortgage
LN-1376,561623,CURRENT,0,5.57,2024-08-10,Freedom Mortgage
LN-1380,430423,CURRENT,0,5.52,2024-08-10,PennyMac Loan Services
LN-1384,155701,CURRENT,0,5.67,2024-08-10,PennyMac Loan Services
LN-1388,247407,CURRENT,0,4.77,2024-08-10,PennyMac Loan Services
LN-1392,584472,CURRENT,0,5.05,2024-08-10,Rocket Mortgage Servicing
LN-1396,464067,CURRENT,0,7.25,2024-08-10,Rocket Mortgage Servicing
LN-1400,551829,CURRENT,0,5.28,2024-08-10,Rocket Mortgage Servicing
LN-1404,466230,CURRENT,0,6.19,2024-08-10,Rocket Mortgage Servicing
LN-1408,216500,CURRENT,0,6.16,2024-08-10,Nationstar Mortgage
LN-1412,425921,CURRENT,0,5.7,2024-08-10,PennyMac Loan Services
LN-1416,330158,CURRENT,0,5.87,2024-08-10,Chase Home Lending
LN-1420,300566,CURRENT,0,7.75,2024-08-10,Freedom Mortgage
LN-1424,166259,CURRENT,0,4.93,2024-08-10,Chase Home Lending
LN-1428,547156,CURRENT,0,6.1,2024-08-10,PennyMac Loan Services
LN-1432,298776,CURRENT,0,4.9,2024-08-10,PennyMac Loan Services
LN-1436,284887,CURRENT,0,5.57,2024-08-10,Freedom Mortgage
LN-1440,521194,CURRENT,0,7.19,2024-08-10,Chase Home Lending
LN-1444,533795,CURRENT,0,4.99,2024-08-10,Nationstar Mortgage
LN-1448,365462,CURRENT,0,7.71,2024-08-10,Freedom Mortgage
LN-1452,202017,CURRENT,0,4.62,2024-08-10,Chase Home Lending
LN-1456,426670,CURRENT,0,7.75,2024-08-10,PennyMac Loan Services
LN-1460,199780,CURRENT,0,6.85,2024-08-10,Nationstar Mortgage
LN-1464,299610,CURRENT,0,6.28,2024-08-10,Nationstar Mortgage
LN-1468,206766,CURRENT,0,6.76,2024-08-10,Freedom Mortgage
LN-1472,296426,CURRENT,0,6.6,2024-08-10,Wells Fargo Servicing
LN-1476,349222,CURRENT,0,7.08,2024-08-10,PennyMac Loan Services
LN-1480,432824,CURRENT,0,6.12,2024-08-10,PennyMac Loan Services
LN-1484,207333,CURRENT,0,6.76,2024-08-10,PennyMac Loan Services
LN-1488,427110,CURRENT,0,7.21,2024-08-10,Rocket Mortgage Servicing
LN-1492,526555,CURRENT,0,5.11,2024-08-10,PennyMac Loan Services
LN-1496,531960,CURRENT,0,6.39,2024-08-10,Chase Home Lending
LN-1500,464943,CURRENT,0,5.38,2024-08-10,Freedom Mortgage
LN-1504,200663,CURRENT,0,6.27,2024-08-10,Rocket Mortgage Servicing
LN-1508,417388,CURRENT,0,4.64,2024-08-10,PennyMac Loan Services
LN-1512,507113,CURRENT,0,5.87,2024-08-10,Nationstar Mortgage
LN-1516,613472,CURRENT,0,7.33,2024-08-10,Chase Home Lending
LN-1520,417528,CURRENT,0,4.54,2024-08-10,Nationstar Mortgage
LN-1524,293993,CURRENT,0,7.55,2024-08-10,Nationstar Mortgage
LN-1528,180931,CURRENT,0,6.7,2024-08-10,Wells Fargo Servicing
LN-1532,209963,CURRENT,0,6.88,2024-08-10,Nationstar Mortgage
LN-1536,540048,CURRENT,0,4.82,2024-08-10,Wells Fargo Servicing
LN-1540,415421,CURRENT,0,6.09,2024-08-10,Chase Home Lending
LN-1544,281171,CURRENT,0,5.96,2024-08-10,Rocket Mortgage Servicing
LN-1548,224199,CURRENT,0,6.68,2024-08-10,Wells Fargo Servicing
LN-1552,466240,CURRENT,0,7.14,2024-08-10,Rocket Mortgage Servicing
LN-1556,619328,CURRENT,0,7.58,2024-08-10,Chase Home Lending
LN-1560,332318,CURRENT,0,6.87,2024-08-10,Wells Fargo Servicing
LN-1564,356093,CURRENT,0,4.75,2024-08-10,Chase Home Lending
LN-1568,526969,CURRENT,0,7.85,2024-08-10,Chase Home Lending
LN-1572,417884,CURRENT,0,5.6,2024-08-10,PennyMac Loan Services
LN-1576,526556,CURRENT,0,7.6,2024-08-10,Freedom Mortgage
LN-1580,290858,CURRENT,0,5.74,2024-08-10,PennyMac Loan Services
LN-1584,382495,CURRENT,0,5.88,2024-08-10,Rocket Mortgage Servicing
LN-1588,292283,CURRENT,0,5.96,2024-08-10,Rocket Mortgage Servicing
LN-1592,222241,CURRENT,0,6.31,2024-08-10,Wells Fargo Servicing
LN-1596,524276,CURRENT,0,5.35,2024-08-10,Chase Home Lending
LN-1600,510649,CURRENT,0,4.51,2024-08-10,PennyMac Loan Services
LN-1604,495461,CURRENT,0,6.76,2024-08-10,Rocket Mortgage Servicing
LN-1608,633850,CURRENT,0,7.48,2024-08-10,Nationstar Mortgage
LN-1612,222319,CURRENT,0,5.1,2024-08-10,PennyMac Loan Services
LN-1616,442232,CURRENT,0,6.56,2024-08-10,PennyMac Loan Services
LN-1620,492739,CURRENT,0,7.03,2024-08-10,Chase Home Lending
LN-1624,456442,CURRENT,0,6.51,2024-08-10,Nationstar Mortgage
LN-1628,609076,CURRENT,0,7.41,2024-08-10,Nationstar Mortgage
LN-1632,509618,CURRENT,0,6.31,2024-08-10,Chase Home Lending
LN-1636,278596,CURRENT,0,5.3,2024-08-10,Wells Fargo Servicing
LN-1640,523583,CURRENT,0,6.9,2024-08-10,Nationstar Mortgage
LN-1644,586333,CURRENT,0,6.91,2024-08-10,Nationstar Mortgage
LN-1648,219424,CURRENT,0,5.61,2024-08-10,Freedom Mortgage
LN-1652,429783,CURRENT,0,7.12,2024-08-10,Wells Fargo Servicing
LN-1656,232795,CURRENT,0,7.27,2024-08-10,Chase Home Lending
LN-1660,310830,CURRENT,0,7.82,2024-08-10,Nationstar Mortgage
LN-1664,582413,CURRENT,0,5.25,2024-08-10,Wells Fargo Servicing
LN-1668,154058,CURRENT,0,7.76,2024-08-10,Chase Home Lending
LN-1672,223179,CURRENT,0,6.82,2024-08-10,Wells Fargo Servicing
LN-1676,506755,CURRENT,0,6.97,2024-08-10,Nationstar Mortgage
LN-1680,292162,CURRENT,0,4.52,2024-08-10,Wells Fargo Servicing
LN-1684,167336,CURRENT,0,7.16,2024-08-10,Chase Home Lending
LN-1688,167590,CURRENT,0,5.52,2024-08-10,Rocket Mortgage Servicing
LN-1692,393698,CURRENT,0,5.94,2024-08-10,PennyMac Loan Services
LN-1696,402612,CURRENT,0,7.58,2024-08-10,PennyMac Loan Services
LN-1700,396990,CURRENT,0,6.34,2024-08-10,PennyMac Loan Services
LN-1704,565851,CURRENT,0,6.38,2024-08-10,Rocket Mortgage Servicing
LN-1708,367443,CURRENT,0,6.94,2024-08-10,PennyMac Loan Services
LN-1712,341835,CURRENT,0,7.41,2024-08-10,PennyMac Loan Services
LN-1716,145600,CURRENT,0,6.16,2024-08-10,Wells Fargo Servicing
LN-1720,205568,CURRENT,0,5.23,2024-08-10,Freedom Mortgage
LN-1724,291605,CURRENT,0,4.7,2024-08-10,PennyMac Loan Services
LN-1728,431256,CURRENT,0,7.39,2024-08-10,Nationstar Mortgage
LN-1732,344834,CURRENT,0,5.14,2024-08-10,PennyMac Loan Services
LN-1736,484808,CURRENT,0,5.7,2024-08-10,Freedom Mortgage
LN-1740,622818,CURRENT,0,7.14,2024-08-10,Chase Home Lending
LN-1744,271015,CURRENT,0,6.67,2024-08-10,Nationstar Mortgage
LN-1748,583677,CURRENT,0,4.97,2024-08-10,Chase Home Lending
LN-1752,611357,CURRENT,0,7.54,2024-08-10,Freedom Mortgage
LN-1756,582635,CURRENT,0,5.7,2024-08-10,Chase Home Lending
LN-1760,344661,CURRENT,0,6.74,2024-08-10,Rocket Mortgage Servicing
LN-1764,401887,CURRENT,0,6.32,2024-08-10,Rocket Mortgage Servicing
LN-1768,529598,CURRENT,0,6.76,2024-08-10,Nationstar Mortgage
LN-1772,296207,CURRENT,0,6.02,2024-08-10,Freedom Mortgage
LN-1776,574951,CURRENT,0,4.53,2024-08-10,Rocket Mortgage Servicing
LN-1780,578442,CURRENT,0,6.95,2024-08-10,Nationstar Mortgage
LN-1784,389077,CURRENT,0,7.46,2024-08-10,Wells Fargo Servicing
LN-1788,380423,CURRENT,0,6.31,2024-08-10,Rocket Mortgage Servicing
LN-1792,585748,CURRENT,0,6.15,2024-08-10,Chase Home Lending
LN-1796,400534,CURRENT,0,4.92,2024-08-10,Chase Home Lending
LN-1800,542767,CURRENT,0,6.34,2024-08-10,Chase Home Lending
LN-1804,475833,CURRENT,0,6.99,2024-08-10,PennyMac Loan Services
LN-1808,383314,CURRENT,0,5.13,2024-08-10,Chase Home Lending
LN-1812,236624,CURRENT,0,6.23,2024-08-10,Rocket Mortgage Servicing
LN-1816,155538,CURRENT,0,6.32,2024-08-10,Chase Home Lending
LN-1820,170330,CURRENT,0,4.64,2024-08-10,PennyMac Loan Services
LN-1824,366882,CURRENT,0,5.92,2024-08-10,PennyMac Loan Services
LN-1828,595659,CURRENT,0,6.73,2024-08-10,Rocket Mortgage Servicing
LN-1832,599205,CURRENT,0,5.83,2024-08-10,Nationstar Mortgage
LN-1836,540053,CURRENT,0,6.43,2024-08-10,PennyMac Loan Services
LN-1840,440340,CURRENT,0,6.13,2024-08-10,Nationstar Mortgage
LN-1844,637945,CURRENT,0,5.85,2024-08-10,Rocket Mortgage Servicing
LN-1848,591109,CURRENT,0,7.63,2024-08-10,Freedom Mortgage
LN-1852,550478,CURRENT,0,5.69,2024-08-10,PennyMac Loan Services
LN-1856,478578,CURRENT,0,6.31,2024-08-10,Freedom Mortgage
LN-1860,352407,CURRENT,0,7.72,2024-08-10,Chase Home Lending
LN-1864,632815,CURRENT,0,7.71,2024-08-10,Freedom Mortgage
LN-1868,474582,CURRENT,0,5.85,2024-08-10,Nationstar Mortgage
LN-1872,334811,CURRENT,0,5.33,2024-08-10,Nationstar Mortgage
LN-1876,207405,CURRENT,0,6.6,2024-08-10,Freedom Mortgage
LN-1880,290966,CURRENT,0,5.31,2024-08-10,Freedom Mortgage
LN-1884,406736,CURRENT,0,6.94,2024-08-10,Freedom Mortgage
LN-1888,177903,CURRENT,0,6.28,2024-08-10,Wells Fargo Servicing
LN-1892,569824,CURRENT,0,7.15,2024-08-10,Nationstar Mortgage
LN-1896,493707,CURRENT,0,5.16,2024-08-10,Rocket Mortgage Servicing
LN-1900,357745,CURRENT,0,4.95,2024-08-10,Chase Home Lending
LN-1904,209438,CURRENT,0,7.72,2024-08-10,Nationstar Mortgage
LN-1908,518354,CURRENT,0,5.66,2024-08-10,Rocket Mortgage Servicing
LN-1912,549497,CURRENT,0,6.08,2024-08-10,Nationstar Mortgage
LN-1916,391933,CURRENT,0,5.79,2024-08-10,Nationstar Mortgage
LN-1920,440738,CURRENT,0,7.02,2024-08-10,PennyMac Loan Services
LN-1924,599730,CURRENT,0,7.76,2024-08-10,PennyMac Loan Services
LN-1928,474980,CURRENT,0,7.44,2024-08-10,Rocket Mortgage Servicing
LN-1932,376035,CURRENT,0,5.4,2024-08-10,Rocket Mortgage Servicing
LN-1936,460511,CURRENT,0,5.17,2024-08-10,Rocket Mortgage Servicing
LN-1940,150309,CURRENT,0,6.01,2024-08-10,Wells Fargo Servicing
LN-1944,491395,CURRENT,0,6.48,2024-08-10,Freedom Mortgage
LN-1948,284492,CURRENT,0,5.13,2024-08-10,Chase Home Lending
LN-1952,202481,CURRENT,0,7.61,2024-08-10,Nationstar Mortgage
LN-1956,578110,CURRENT,0,7.6,2024-08-10,Chase Home Lending
LN-1960,250116,CURRENT,0,4.72,2024-08-10,Rocket Mortgage Servicing
LN-1964,614451,CURRENT,0,5.96,2024-08-10,PennyMac Loan Services
LN-1968,588466,CURRENT,0,5.98,2024-08-10,Rocket Mortgage Servicing
LN-1972,367986,CURRENT,0,5.81,2024-08-10,PennyMac Loan Services
LN-1976,472398,CURRENT,0,5.77,2024-08-10,Nationstar Mortgage
LN-1980,468652,CURRENT,0,6.36,2024-08-10,Chase Home Lending
LN-1984,592773,CURRENT,0,7.32,2024-08-10,Rocket Mortgage Servicing
LN-1988,324350,CURRENT,0,6,2024-08-10,Wells Fargo Servicing
LN-1992,261918,CURRENT,0,6.31,2024-08-10,Chase Home Lending
LN-1996,382230,CURRENT,0,5.41,2024-08-10,Nationstar Mortgage
LN-2000,519568,CURRENT,0,5.33,2024-08-10,Nationstar Mortgage
