loan_id,document_status,vault_location,custodian_note
LN-1069,COMPLETE,VAULT-D-20,"Original promissory note and deed in vault inventory"
LN-1070,COMPLETE,VAULT-E-21,"Original promissory note and deed in vault inventory"
LN-1071,COMPLETE,VAULT-F-22,"Original promissory note and deed in vault inventory"
LN-1072,COMPLETE,VAULT-A-23,"Original promissory note and deed in vault inventory"
LN-1073,COMPLETE,VAULT-B-24,"Original promissory note and deed in vault inventory"
LN-1074,COMPLETE,VAULT-C-25,"Original promissory note and deed in vault inventory"
LN-1075,COMPLETE,VAULT-D-26,"Original promissory note and deed in vault inventory"
LN-1076,COMPLETE,VAULT-E-27,"Original promissory note and deed in vault inventory"
LN-1077,COMPLETE,VAULT-F-28,"Original promissory note and deed in vault inventory"
LN-1078,COMPLETE,VAULT-A-29,"Original promissory note and deed in vault inventory"
LN-1079,COMPLETE,VAULT-B-30,"Original promissory note and deed in vault inventory"
LN-1080,COMPLETE,VAULT-C-31,"Original promissory note and deed in vault inventory"
LN-1081,COMPLETE,VAULT-D-32,"Original promissory note and deed in vault inventory"
LN-1082,COMPLETE,VAULT-E-33,"Original promissory note and deed in vault inventory"
LN-1083,COMPLETE,VAULT-F-34,"Original promissory note and deed in vault inventory"
LN-1084,COMPLETE,VAULT-A-35,"Original promissory note and deed in vault inventory"
LN-1085,COMPLETE,VAULT-B-36,"Original promissory note and deed in vault inventory"
LN-1086,COMPLETE,VAULT-C-37,"Original promissory note and deed in vault inventory"
LN-1087,COMPLETE,VAULT-D-38,"Original promissory note and deed in vault inventory"
LN-1088,COMPLETE,VAULT-E-39,"Original promissory note and deed in vault inventory"
LN-1089,COMPLETE,VAULT-F-40,"Original promissory note and deed in vault inventory"
LN-1090,COMPLETE,VAULT-A-41,"Original promissory note and deed in vault inventory"
LN-1091,COMPLETE,VAULT-B-42,"Original promissory note and deed in vault inventory"
LN-1092,COMPLETE,VAULT-C-43,"Original promissory note and deed in vault inventory"
LN-1093,COMPLETE,VAULT-D-44,"Original promissory note and deed in vault inventory"
LN-1094,COMPLETE,VAULT-E-45,"Original promissory note and deed in vault inventory"
LN-1095,COMPLETE,VAULT-F-46,"Original promissory note and deed in vault inventory"
LN-1096,COMPLETE,VAULT-A-47,"Original promissory note and deed in vault inventory"
LN-1097,COMPLETE,VAULT-B-48,"Original promissory note and deed in vault inventory"
LN-1098,COMPLETE,VAULT-C-49,"Original promissory note and deed in vault inventory"
LN-1099,COMPLETE,VAULT-D-50,"Original promissory note and deed in vault inventory"
LN-1100,MISSING_NOTE,VAULT-E-1,"Promissory note missing endorsement allonge"
LN-1101,COMPLETE,VAULT-F-2,"Original promissory note and deed in vault inventory"
LN-1102,COMPLETE,VAULT-A-3,"Original promissory note and deed in vault inventory"
LN-1103,COMPLETE,VAULT-B-4,"Original promissory note and deed in vault inventory"
LN-1104,COMPLETE,VAULT-C-5,"Original promissory note and deed in vault inventory"
LN-1105,COMPLETE,VAULT-D-6,"Original promissory note and deed in vault inventory"
LN-1106,COMPLETE,VAULT-E-7,"Original promissory note and deed in vault inventory"
LN-1107,COMPLETE,VAULT-F-8,"Original promissory note and deed in vault inventory"
LN-1108,COMPLETE,VAULT-A-9,"Original promissory note and deed in vault inventory"
LN-1109,COMPLETE,VAULT-B-10,"Original promissory note and deed in vault inventory"
LN-1110,COMPLETE,VAULT-C-11,"Original promissory note and deed in vault inventory"
LN-1111,COMPLETE,VAULT-D-12,"Original promissory note and deed in vault inventory"
LN-1112,COMPLETE,VAULT-E-13,"Original promissory note and deed in vault inventory"
LN-1113,COMPLETE,VAULT-F-14,"Original promissory note and deed in vault inventory"
LN-1114,COMPLETE,VAULT-A-15,"Original promissory note and deed in vault inventory"
LN-1115,COMPLETE,VAULT-B-16,"Original promissory note and deed in vault inventory"
LN-1116,COMPLETE,VAULT-C-17,"Original promissory note and deed in vault inventory"
LN-1117,COMPLETE,VAULT-D-18,"Original promissory note and deed in vault inventory"
LN-1118,COMPLETE,VAULT-E-19,"Original promissory note and deed in vault inventory"
LN-1119,COMPLETE,VAULT-F-20,"Original promissory note and deed in vault inventory"
LN-1120,MISSING_NOTE,VAULT-A-21,"Promissory note missing endorsement allonge"
LN-1121,COMPLETE,VAULT-B-22,"Original promissory note and deed in vault inventory"
LN-1122,COMPLETE,VAULT-C-23,"Original promissory note and deed in vault inventory"
LN-1123,COMPLETE,VAULT-D-24,"Original promissory note and deed in vault inventory"
LN-1124,COMPLETE,VAULT-E-25,"Original promissory note and deed in vault inventory"
LN-1125,COMPLETE,VAULT-F-26,"Original promissory note and deed in vault inventory"
LN-1126,COMPLETE,VAULT-A-27,"Original promissory note and deed in vault inventory"
LN-1127,COMPLETE,VAULT-B-28,"Original promissory note and deed in vault inventory"
LN-1128,COMPLETE,VAULT-C-29,"Original promissory note and deed in vault inventory"
LN-1129,COMPLETE,VAULT-D-30,"Original promissory note and deed in vault inventory"
LN-1130,COMPLETE,VAULT-E-31,"Original promissory note and deed in vault inventory"
LN-1131,COMPLETE,VAULT-F-32,"Original promissory note and deed in vault inventory"
LN-1132,COMPLETE,VAULT-A-33,"Original promissory note and deed in vault inventory"
LN-1133,COMPLETE,VAULT-B-34,"Original promissory note and deed in vault inventory"
LN-1134,COMPLETE,VAULT-C-35,"Original promissory note and deed in vault inventory"
LN-1135,COMPLETE,VAULT-D-36,"Original promissory note and deed in vault inventory"
LN-1136,COMPLETE,VAULT-E-37,"Original promissory note and deed in vault inventory"
LN-1137,COMPLETE,VAULT-F-38,"Original promissory note and deed in vault inventory"
LN-1138,COMPLETE,VAULT-A-39,"Original promissory note and deed in vault inventory"
LN-1139,COMPLETE,VAULT-B-40,"Original promissory note and deed in vault inventory"
LN-1140,COMPLETE,VAULT-C-41,"Original promissory note and deed in vault inventory"
LN-1141,COMPLETE,VAULT-D-42,"Original promissory note and deed in vault inventory"
LN-1142,COMPLETE,VAULT-E-43,"Original promissory note and deed in vault inventory"
LN-1143,COMPLETE,VAULT-F-44,"Original promissory note and deed in vault inventory"
LN-1144,COMPLETE,VAULT-A-45,"Original promissory note and deed in vault inventory"
LN-1145,COMPLETE,VAULT-B-46,"Original promissory note and deed in vault inventory"
LN-1146,COMPLETE,VAULT-C-47,"Original promissory note and deed in vault inventory"
LN-1147,COMPLETE,VAULT-D-48,"Original promissory note and deed in vault inventory"
LN-1148,COMPLETE,VAULT-E-49,"Original promissory note and deed in vault inventory"
LN-1149,COMPLETE,VAULT-F-50,"Original promissory note and deed in vault inventory"
LN-1150,COMPLETE,VAULT-A-1,"Original promissory note and deed in vault inventory"
LN-1151,COMPLETE,VAULT-B-2,"Original promissory note and deed in vault inventory"
LN-1152,COMPLETE,VAULT-C-3,"Original promissory note and deed in vault inventory"
LN-1153,COMPLETE,VAULT-D-4,"Original promissory note and deed in vault inventory"
LN-1154,COMPLETE,VAULT-E-5,"Original promissory note and deed in vault inventory"
LN-1155,COMPLETE,VAULT-F-6,"Original promissory note and deed in vault inventory"
LN-1156,COMPLETE,VAULT-A-7,"Original promissory note and deed in vault inventory"
LN-1157,COMPLETE,VAULT-B-8,"Original promissory note and deed in vault inventory"
LN-1158,COMPLETE,VAULT-C-9,"Original promissory note and deed in vault inventory"
LN-1159,COMPLETE,VAULT-D-10,"Original promissory note and deed in vault inventory"
LN-1160,COMPLETE,VAULT-E-11,"Original promissory note and deed in vault inventory"
LN-1161,COMPLETE,VAULT-F-12,"Original promissory note and deed in vault inventory"
LN-1162,COMPLETE,VAULT-A-13,"Original promissory note and deed in vault inventory"
LN-1163,COMPLETE,VAULT-B-14,"Original promissory note and deed in vault inventory"
LN-1164,COMPLETE,VAULT-C-15,"Original promissory note and deed in vault inventory"
LN-1165,COMPLETE,VAULT-D-16,"Original promissory note and deed in vault inventory"
LN-1166,COMPLETE,VAULT-E-17,"Original promissory note and deed in vault inventory"
LN-1167,COMPLETE,VAULT-F-18,"Original promissory note and deed in vault inventory"
LN-1168,COMPLETE,VAULT-A-19,"Original promissory note and deed in vault inventory"
LN-1169,COMPLETE,VAULT-B-20,"Original promissory note and deed in vault inventory"
LN-1170,COMPLETE,VAULT-C-21,"Original promissory note and deed in vault inventory"
LN-1171,COMPLETE,VAULT-D-22,"Original promissory note and deed in vault inventory"
LN-1172,COMPLETE,VAULT-E-23,"Original promissory note and deed in vault inventory"
LN-1173,COMPLETE,VAULT-F-24,"Original promissory note and deed in vault inventory"
LN-1174,COMPLETE,VAULT-A-25,"Original promissory note and deed in vault inventory"
LN-1175,COMPLETE,VAULT-B-26,"Original promissory note and deed in vault inventory"
LN-1176,COMPLETE,VAULT-C-27,"Original promissory note and deed in vault inventory"
LN-1177,COMPLETE,VAULT-D-28,"Original promissory note and deed in vault inventory"
LN-1178,COMPLETE,VAULT-E-29,"Original promissory note and deed in vault inventory"
LN-1179,COMPLETE,VAULT-F-30,"Original promissory note and deed in vault inventory"
LN-1180,COMPLETE,VAULT-A-31,"Original promissory note and deed in vault inventory"
LN-1181,COMPLETE,VAULT-B-32,"Original promissory note and deed in vault inventory"
LN-1182,COMPLETE,VAULT-C-33,"Original promissory note and deed in vault inventory"
LN-1183,COMPLETE,VAULT-D-34,"Original promissory note and deed in vault inventory"
LN-1184,COMPLETE,VAULT-E-35,"Original promissory note and deed in vault inventory"
LN-1185,COMPLETE,VAULT-F-36,"Original promissory note and deed in vault inventory"
LN-1186,COMPLETE,VAULT-A-37,"Original promissory note and deed in vault inventory"
LN-1187,COMPLETE,VAULT-B-38,"Original promissory note and deed in vault inventory"
LN-1188,COMPLETE,VAULT-C-39,"Original promissory note and deed in vault inventory"
LN-1189,COMPLETE,VAULT-D-40,"Original promissory note and deed in vault inventory"
LN-1190,COMPLETE,VAULT-E-41,"Original promissory note and deed in vault inventory"
LN-1191,COMPLETE,VAULT-F-42,"Original promissory note and deed in vault inventory"
LN-1192,COMPLETE,VAULT-A-43,"Original promissory note and deed in vault inventory"
LN-1193,COMPLETE,VAULT-B-44,"Original promissory note and deed in vault inventory"
LN-1194,COMPLETE,VAULT-C-45,"Original promissory note and deed in vault inventory"
LN-1195,COMPLETE,VAULT-D-46,"Original promissory note and deed in vault inventory"
LN-1196,COMPLETE,VAULT-E-47,"Original promissory note and deed in vault inventory"
LN-1197,COMPLETE,VAULT-F-48,"Original promissory note and deed in vault inventory"
LN-1198,COMPLETE,VAULT-A-49,"Original promissory note and deed in vault inventory"
LN-1199,COMPLETE,VAULT-B-50,"Original promissory note and deed in vault inventory"
LN-1200,COMPLETE,VAULT-C-1,"Original promissory note and deed in vault inventory"
LN-1201,COMPLETE,VAULT-D-2,"Original promissory note and deed in vault inventory"
LN-1202,COMPLETE,VAULT-E-3,"Original promissory note and deed in vault inventory"
LN-1203,COMPLETE,VAULT-F-4,"Original promissory note and deed in vault inventory"
LN-1204,COMPLETE,VAULT-A-5,"Original promissory note and deed in vault inventory"
LN-1205,COMPLETE,VAULT-B-6,"Original promissory note and deed in vault inventory"
LN-1206,COMPLETE,VAULT-C-7,"Original promissory note and deed in vault inventory"
LN-1207,COMPLETE,VAULT-D-8,"Original promissory note and deed in vault inventory"
LN-1208,COMPLETE,VAULT-E-9,"Original promissory note and deed in vault inventory"
LN-1209,COMPLETE,VAULT-F-10,"Original promissory note and deed in vault inventory"
LN-1210,COMPLETE,VAULT-A-11,"Original promissory note and deed in vault inventory"
LN-1211,COMPLETE,VAULT-B-12,"Original promissory note and deed in vault inventory"
LN-1212,COMPLETE,VAULT-C-13,"Original promissory note and deed in vault inventory"
LN-1213,COMPLETE,VAULT-D-14,"Original promissory note and deed in vault inventory"
LN-1214,COMPLETE,VAULT-E-15,"Original promissory note and deed in vault inventory"
LN-1215,COMPLETE,VAULT-F-16,"Original promissory note and deed in vault inventory"
LN-1216,COMPLETE,VAULT-A-17,"Original promissory note and deed in vault inventory"
LN-1217,COMPLETE,VAULT-B-18,"Original promissory note and deed in vault inventory"
LN-1218,COMPLETE,VAULT-C-19,"Original promissory note and deed in vault inventory"
LN-1219,COMPLETE,VAULT-D-20,"Original promissory note and deed in vault inventory"
LN-1220,COMPLETE,VAULT-E-21,"Original promissory note and deed in vault inventory"
LN-1221,COMPLETE,VAULT-F-22,"Original promissory note and deed in vault inventory"
LN-1222,COMPLETE,VAULT-A-23,"Original promissory note and deed in vault inventory"
LN-1223,COMPLETE,VAULT-B-24,"Original promissory note and deed in vault inventory"
LN-1224,COMPLETE,VAULT-C-25,"Original promissory note and deed in vault inventory"
LN-1225,COMPLETE,VAULT-D-26,"Original promissory note and deed in vault inventory"
LN-1226,COMPLETE,VAULT-E-27,"Original promissory note and deed in vault inventory"
LN-1227,COMPLETE,VAULT-F-28,"Original promissory note and deed in vault inventory"
LN-1228,COMPLETE,VAULT-A-29,"Original promissory note and deed in vault inventory"
LN-1229,COMPLETE,VAULT-B-30,"Original promissory note and deed in vault inventory"
LN-1230,COMPLETE,VAULT-C-31,"Original promissory note and deed in vault inventory"
LN-1231,COMPLETE,VAULT-D-32,"Original promissory note and deed in vault inventory"
LN-1232,COMPLETE,VAULT-E-33,"Original promissory note and deed in vault inventory"
LN-1233,COMPLETE,VAULT-F-34,"Original promissory note and deed in vault inventory"
LN-1234,COMPLETE,VAULT-A-35,"Original promissory note and deed in vault inventory"
LN-1235,COMPLETE,VAULT-B-36,"Original promissory note and deed in vault inventory"
LN-1236,COMPLETE,VAULT-C-37,"Original promissory note and deed in vault inventory"
LN-1237,COMPLETE,VAULT-D-38,"Original promissory note and deed in vault inventory"
LN-1238,COMPLETE,VAULT-E-39,"Original promissory note and deed in vault inventory"
LN-1239,COMPLETE,VAULT-F-40,"Original promissory note and deed in vault inventory"
LN-1240,MISSING_NOTE,VAULT-A-41,"Promissory note missing endorsement allonge"
LN-1241,COMPLETE,VAULT-B-42,"Original promissory note and deed in vault inventory"
LN-1242,COMPLETE,VAULT-C-43,"Original promissory note and deed in vault inventory"
LN-1243,COMPLETE,VAULT-D-44,"Original promissory note and deed in vault inventory"
LN-1244,COMPLETE,VAULT-E-45,"Original promissory note and deed in vault inventory"
LN-1245,COMPLETE,VAULT-F-46,"Original promissory note and deed in vault inventory"
LN-1246,COMPLETE,VAULT-A-47,"Original promissory note and deed in vault inventory"
LN-1247,COMPLETE,VAULT-B-48,"Original promissory note and deed in vault inventory"
LN-1248,COMPLETE,VAULT-C-49,"Original promissory note and deed in vault inventory"
LN-1249,COMPLETE,VAULT-D-50,"Original promissory note and deed in vault inventory"
LN-1250,COMPLETE,VAULT-E-1,"Original promissory note and deed in vault inventory"
LN-1251,COMPLETE,VAULT-F-2,"Original promissory note and deed in vault inventory"
LN-1252,COMPLETE,VAULT-A-3,"Original promissory note and deed in vault inventory"
LN-1253,COMPLETE,VAULT-B-4,"Original promissory note and deed in vault inventory"
LN-1254,COMPLETE,VAULT-C-5,"Original promissory note and deed in vault inventory"
LN-1255,COMPLETE,VAULT-D-6,"Original promissory note and deed in vault inventory"
LN-1256,COMPLETE,VAULT-E-7,"Original promissory note and deed in vault inventory"
LN-1257,COMPLETE,VAULT-F-8,"Original promissory note and deed in vault inventory"
LN-1258,COMPLETE,VAULT-A-9,"Original promissory note and deed in vault inventory"
LN-1259,COMPLETE,VAULT-B-10,"Original promissory note and deed in vault inventory"
LN-1260,COMPLETE,VAULT-C-11,"Original promissory note and deed in vault inventory"
LN-1261,COMPLETE,VAULT-D-12,"Original promissory note and deed in vault inventory"
LN-1262,COMPLETE,VAULT-E-13,"Original promissory note and deed in vault inventory"
LN-1263,COMPLETE,VAULT-F-14,"Original promissory note and deed in vault inventory"
LN-1264,COMPLETE,VAULT-A-15,"Original promissory note and deed in vault inventory"
LN-1265,COMPLETE,VAULT-B-16,"Original promissory note and deed in vault inventory"
LN-1266,COMPLETE,VAULT-C-17,"Original promissory note and deed in vault inventory"
LN-1267,COMPLETE,VAULT-D-18,"Original promissory note and deed in vault inventory"
LN-1268,COMPLETE,VAULT-E-19,"Original promissory note and deed in vault inventory"
LN-1269,COMPLETE,VAULT-F-20,"Original promissory note and deed in vault inventory"
LN-1270,COMPLETE,VAULT-A-21,"Original promissory note and deed in vault inventory"
LN-1271,COMPLETE,VAULT-B-22,"Original promissory note and deed in vault inventory"
LN-1272,COMPLETE,VAULT-C-23,"Original promissory note and deed in vault inventory"
LN-1273,COMPLETE,VAULT-D-24,"Original promissory note and deed in vault inventory"
LN-1274,COMPLETE,VAULT-E-25,"Original promissory note and deed in vault inventory"
LN-1275,COMPLETE,VAULT-F-26,"Original promissory note and deed in vault inventory"
LN-1276,COMPLETE,VAULT-A-27,"Original promissory note and deed in vault inventory"
LN-1277,COMPLETE,VAULT-B-28,"Original promissory note and deed in vault inventory"
LN-1278,COMPLETE,VAULT-C-29,"Original promissory note and deed in vault inventory"
LN-1279,COMPLETE,VAULT-D-30,"Original promissory note and deed in vault inventory"
LN-1280,COMPLETE,VAULT-E-31,"Original promissory note and deed in vault inventory"
LN-1281,COMPLETE,VAULT-F-32,"Original promissory note and deed in vault inventory"
LN-1282,COMPLETE,VAULT-A-33,"Original promissory note and deed in vault inventory"
LN-1283,COMPLETE,VAULT-B-34,"Original promissory note and deed in vault inventory"
LN-1284,COMPLETE,VAULT-C-35,"Original promissory note and deed in vault inventory"
LN-1285,COMPLETE,VAULT-D-36,"Original promissory note and deed in vault inventory"
LN-1286,COMPLETE,VAULT-E-37,"Original promissory note and deed in vault inventory"
LN-1287,COMPLETE,VAULT-F-38,"Original promissory note and deed in vault inventory"
LN-1288,COMPLETE,VAULT-A-39,"Original promissory note and deed in vault inventory"
LN-1289,COMPLETE,VAULT-B-40,"Original promissory note and deed in vault inventory"
LN-1290,COMPLETE,VAULT-C-41,"Original promissory note and deed in vault inventory"
LN-1291,COMPLETE,VAULT-D-42,"Original promissory note and deed in vault inventory"
LN-1292,COMPLETE,VAULT-E-43,"Original promissory note and deed in vault inventory"
LN-1293,COMPLETE,VAULT-F-44,"Original promissory note and deed in vault inventory"
LN-1294,COMPLETE,VAULT-A-45,"Original promissory note and deed in vault inventory"
LN-1295,COMPLETE,VAULT-B-46,"Original promissory note and deed in vault inventory"
LN-1296,COMPLETE,VAULT-C-47,"Original promissory note and deed in vault inventory"
LN-1297,COMPLETE,VAULT-D-48,"Original promissory note and deed in vault inventory"
LN-1298,COMPLETE,VAULT-E-49,"Original promissory note and deed in vault inventory"
LN-1299,COMPLETE,VAULT-F-50,"Original promissory note and deed in vault inventory"
LN-1300,COMPLETE,VAULT-A-1,"Original promissory note and deed in vault inventory"
LN-1301,COMPLETE,VAULT-B-2,"Original promissory note and deed in vault inventory"
LN-1302,COMPLETE,VAULT-C-3,"Original promissory note and deed in vault inventory"
LN-1303,COMPLETE,VAULT-D-4,"Original promissory note and deed in vault inventory"
LN-1304,COMPLETE,VAULT-E-5,"Original promissory note and deed in vault inventory"
LN-1305,COMPLETE,VAULT-F-6,"Original promissory note and deed in vault inventory"
LN-1306,COMPLETE,VAULT-A-7,"Original promissory note and deed in vault inventory"
LN-1307,COMPLETE,VAULT-B-8,"Original promissory note and deed in vault inventory"
LN-1308,COMPLETE,VAULT-C-9,"Original promissory note and deed in vault inventory"
LN-1309,COMPLETE,VAULT-D-10,"Original promissory note and deed in vault inventory"
LN-1310,COMPLETE,VAULT-E-11,"Original promissory note and deed in vault inventory"
LN-1311,COMPLETE,VAULT-F-12,"Original promissory note and deed in vault inventory"
LN-1312,COMPLETE,VAULT-A-13,"Original promissory note and deed in vault inventory"
LN-1313,COMPLETE,VAULT-B-14,"Original promissory note and deed in vault inventory"
LN-1314,COMPLETE,VAULT-C-15,"Original promissory note and deed in vault inventory"
LN-1315,COMPLETE,VAULT-D-16,"Original promissory note and deed in vault inventory"
LN-1316,COMPLETE,VAULT-E-17,"Original promissory note and deed in vault inventory"
LN-1317,COMPLETE,VAULT-F-18,"Original promissory note and deed in vault inventory"
LN-1318,COMPLETE,VAULT-A-19,"Original promissory note and deed in vault inventory"
LN-1319,COMPLETE,VAULT-B-20,"Original promissory note and deed in vault inventory"
LN-1320,COMPLETE,VAULT-C-21,"Original promissory note and deed in vault inventory"
LN-1321,COMPLETE,VAULT-D-22,"Original promissory note and deed in vault inventory"
LN-1322,COMPLETE,VAULT-E-23,"Original promissory note and deed in vault inventory"
LN-1323,COMPLETE,VAULT-F-24,"Original promissory note and deed in vault inventory"
LN-1324,COMPLETE,VAULT-A-25,"Original promissory note and deed in vault inventory"
LN-1325,COMPLETE,VAULT-B-26,"Original promissory note and deed in vault inventory"
LN-1326,COMPLETE,VAULT-C-27,"Original promissory note and deed in vault inventory"
LN-1327,COMPLETE,VAULT-D-28,"Original promissory note and deed in vault inventory"
LN-1328,COMPLETE,VAULT-E-29,"Original promissory note and deed in vault inventory"
LN-1329,COMPLETE,VAULT-F-30,"Original promissory note and deed in vault inventory"
LN-1330,COMPLETE,VAULT-A-31,"Original promissory note and deed in vault inventory"
LN-1331,COMPLETE,VAULT-B-32,"Original promissory note and deed in vault inventory"
LN-1332,COMPLETE,VAULT-C-33,"Original promissory note and deed in vault inventory"
LN-1333,COMPLETE,VAULT-D-34,"Original promissory note and deed in vault inventory"
LN-1334,COMPLETE,VAULT-E-35,"Original promissory note and deed in vault inventory"
LN-1335,COMPLETE,VAULT-F-36,"Original promissory note and deed in vault inventory"
LN-1336,COMPLETE,VAULT-A-37,"Original promissory note and deed in vault inventory"
LN-1337,COMPLETE,VAULT-B-38,"Original promissory note and deed in vault inventory"
LN-1338,COMPLETE,VAULT-C-39,"Original promissory note and deed in vault inventory"
LN-1339,COMPLETE,VAULT-D-40,"Original promissory note and deed in vault inventory"
LN-1340,COMPLETE,VAULT-E-41,"Original promissory note and deed in vault inventory"
LN-1341,COMPLETE,VAULT-F-42,"Original promissory note and deed in vault inventory"
LN-1342,COMPLETE,VAULT-A-43,"Original promissory note and deed in vault inventory"
LN-1343,COMPLETE,VAULT-B-44,"Original promissory note and deed in vault inventory"
LN-1344,COMPLETE,VAULT-C-45,"Original promissory note and deed in vault inventory"
LN-1345,COMPLETE,VAULT-D-46,"Original promissory note and deed in vault inventory"
LN-1346,COMPLETE,VAULT-E-47,"Original promissory note and deed in vault inventory"
LN-1347,COMPLETE,VAULT-F-48,"Original promissory note and deed in vault inventory"
LN-1348,COMPLETE,VAULT-A-49,"Original promissory note and deed in vault inventory"
